Zeitstempel;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ
18:23:09.817;-0.14;0.74;-0.65;1.95;-2.38;2.26;2;-8;-58
18:23:09.877;-0.14;0.74;-0.67;0.92;1.28;1.1;2;-8;-58
18:23:09.996;-0.13;0.75;-0.64;-2.62;4.39;0.18;4;-10;-59
18:23:10.003;-0.13;0.74;-0.66;2.87;-0.79;0.49;4;-10;-59
18:23:10.058;-0.15;0.74;-0.65;-0.55;1.71;0;2;-10;-61
18:23:10.117;-0.14;0.72;-0.68;0.18;1.16;3.36;3;-9;-62
18:23:10.177;-0.16;0.75;-0.64;-1.59;3.66;0.55;3;-9;-62
18:23:10.237;-0.15;0.73;-0.67;1.22;2.81;8.06;3;-9;-62
18:23:10.244;-0.15;0.75;-0.63;1.65;2.5;3.85;3;-9;-62
18:23:10.297;-0.14;0.8;-0.63;3.78;-0.24;12.51;2;-7;-57
18:23:10.356;0.07;0.93;-0.69;16.97;-3.36;16.3;2;-7;-57
18:23:10.417;0.12;1.03;-0.9;33.94;2.87;52.43;2;-7;-57
18:23:10.425;0.25;1.49;-0.67;19.9;3.42;77.58;5;-8;-61
18:23:10.477;0.27;1.72;-0.72;49.01;-39.43;105.53;5;-8;-61
18:23:10.657;0.26;2.16;-0.56;65.43;-82.21;30.58;9;-7;-52
18:23:10.717;0.23;2.7;0.02;36.07;-129.7;-61.46;9;-7;-52
18:23:11.141;-0.87;-0.38;-1.25;47.67;60.06;-37.23;-18;23;0
18:23:11.197;-0.66;-0.29;-1.28;75.93;14.77;-12.94;-11;26;0
18:23:11.259;-0.42;-0.21;-1.1;40.1;3.97;5.68;-11;26;-69
18:23:11.264;-0.35;-0.15;-1.07;30.46;10.62;18.55;-11;26;NaN
18:23:11.317;-0.33;-0.11;-1.04;27.77;30.09;15.08;-5;30;-7
18:23:11.377;-0.33;-0.05;-0.96;18.55;18.55;3.78;-5;30;-71
18:23:11.382;-0.37;-0.05;-0.98;26.98;0.12;-2.14;-4;31;-67
18:23:11.437;-0.39;-0.05;-0.93;11.66;-2.44;-7.51;-4;31;-6
18:23:11.496;-0.38;-0.04;-0.9;8.36;0.43;-11.05;-4;31;-67
18:23:11.499;-0.39;-0.04;-0.88;-5.55;4.39;-16.11;-5;29;-6
18:23:11.556;-0.42;-0.08;-0.92;4.82;6.23;-18.68;-5;29;-64
18:23:11.676;-0.44;-0.09;-0.93;-6.04;8.3;-18.37;-1;30;-6
18:23:11.680;-0.47;-0.09;-0.92;-6.59;6.71;-15.2;-1;30;-6
18:23:11.683;-0.46;-0.09;-0.91;3.78;-1.89;-10.8;-1;30;-6
18:23:11.736;-0.45;-0.03;-0.92;7.63;-7.57;-5.43;-1;29;-67
18:23:11.797;-0.41;-0.06;-0.89;8.18;-2.38;-0.12;-1;29;-67
18:23:11.802;-0.41;-0.06;-0.89;0.61;1.65;-7.32;0;30;-66
18:23:11.856;-0.42;-0.07;-0.88;-3.85;4.76;-9.64;0;30;-66
18:23:11.918;-0.44;-0.05;-0.92;2.81;1.28;-6.53;-1;29;-63
18:23:12.037;-0.44;-0.06;-0.91;6.47;-2.81;-5.37;0;29;-66
18:23:12.097;-0.43;-0.04;-0.91;1.71;-5.31;-3.6;0;29;-66
18:23:12.103;-0.42;-0.02;-0.9;0.98;-3.11;-2.5;0;29;-66
18:23:12.157;-0.44;-0.03;-0.93;3.17;-0.49;2.14;1;28;-67
18:23:12.162;-0.44;-0.02;-0.91;-0.43;3.36;-0.55;1;28;-67
18:23:12.217;-0.43;0;-0.89;1.4;-1.83;0.18;0;28;-67
18:23:12.277;-0.42;-0.01;-0.91;11.17;-5.98;4.52;0;28;-67
18:23:12.284;-0.41;0;-0.93;1.53;-0.98;1.65;0;28;-67
18:23:12.336;-0.42;0.01;-0.91;0.79;1.28;2.44;2;28;-66
18:23:12.397;-0.42;-0.01;-0.92;0.67;-1.77;3.91;0;27;-63
