Zeitstempel;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ
11:21:34.314;0.4;0.8;-0.44;-1.22;-0.85;-0.31;29;7;-34
11:21:34.494;0.41;0.8;-0.43;-1.04;1.34;0.06;30;6;-33
11:21:34.734;0.42;0.82;-0.44;-1.95;1.04;-2.01;32;7;-34
11:21:34.794;0.43;0.8;-0.43;-3.97;0.31;-5.86;30;6;-34
11:21:34.854;0.41;0.79;-0.49;-7.2;1.77;-8.12;29;5;-39
11:21:34.913;0.39;0.77;-0.55;-19.84;5.25;-15.2;29;5;-39
11:21:34.920;0.33;0.77;-0.62;-23.13;2.2;-16.91;29;5;-39
11:21:34.973;0.25;0.74;-0.72;-26.98;-10.86;-1.53;27;4;-34
11:21:35.033;0.18;0.74;-0.79;-48.34;-18.01;10.99;27;4;-34
11:21:35.041;0.09;0.63;-0.77;-61.58;-21.73;18.19;27;6;-42
11:21:35.093;-0.09;0.55;-0.55;-77.94;-55.05;24.78;27;6;-4
11:21:35.155;-0.2;0.46;-0.52;-45.53;-98.27;50.72;27;6;-4
11:21:35.213;-0.31;0.49;-0.43;-41.87;-122.86;79.1;22;1;NaN
11:21:35.221;-0.45;0.53;-0.21;-49.19;-139.65;116.88;22;1;0
11:21:35.273;-0.6;0.82;-0.06;-35.71;-166.2;171.63;18;1;0
11:21:35.333;-0.66;1.18;0.04;-12.02;-181.21;272.16;18;1;NaN
11:21:35.340;-0.83;1.45;-0.06;27.28;-175.42;372.56;18;1;NaN
11:21:35.393;-1.14;1.82;0.11;50.96;-162.54;424.62;14;8;-4
11:21:35.456;-1.47;2.13;0.12;98.02;-188.96;488.95;14;8;-4
11:21:35.463;-1.52;1.83;0.17;118.23;-197.14;530.94;4;25;NaN
11:21:35.514;-1.38;1.24;-0.13;9.28;-119.93;425.23;4;25;-5
11:21:35.573;-0.98;1.14;0.58;19.17;-66.35;224.79;4;25;-52
11:21:35.579;-0.74;1.2;0.18;89.66;-105.65;196.9;-13;30;0
11:21:35.693;-0.61;1.34;-0.22;84.35;-57.07;200.56;-13;30;0
11:21:35.698;-0.32;0.95;0.12;60.24;14.77;117.49;-16;29;-5
11:21:35.702;-0.31;1.04;0.26;15.44;-33.57;12.94;-16;29;-5
11:21:35.754;-0.53;1.04;-0.22;93.32;-88.32;-51.88;-16;29;0
11:21:35.814;-0.67;1.1;-0.14;38.51;-48.52;-120.79;-9;23;0
11:21:35.823;-0.7;1.44;-0.05;45.23;-48.95;-173.83;-9;23;0
11:21:35.873;-0.73;2.09;-0.05;57.86;-79.65;-173.65;2;14;NaN
11:21:35.933;-0.81;2.45;-0.26;147.64;-52.86;-204.53;2;14;0
11:21:35.942;-0.83;3.09;0.13;85.27;29.24;-335.45;2;14;-61
11:21:35.993;-1.62;3.76;0.51;176.27;62.19;-429.69;10;0;-5
11:21:36.054;-2.08;4;0.4;167.72;175.48;-513.06;10;0;NaN
11:21:36.114;-3.28;3.3;0.12;64.39;409.97;-722.84;12;-23;0
11:21:36.173;-2.92;1.61;0.39;56.7;307.25;-649.84;12;-23;0
11:21:36.354;-0.8;-0.19;-1.32;26.25;83.37;-142.82;-9;-4;0
11:21:36.413;-0.64;-0.29;-1.38;19.65;61.95;-129.7;-9;-4;0
11:21:36.713;-0.38;-0.28;-1.24;10.86;27.53;-79.59;-9;-4;NaN
11:21:36.719;-0.24;-0.18;-1.44;39.37;6.29;-15.5;-8;-2;-7
11:21:36.724;-0.09;-0.2;-1.2;8.67;31.19;18.86;-8;-2;-77
11:21:36.728;0;-0.17;-1.11;-10.38;8.61;12.7;-8;-1;-75
11:21:36.773;0.16;-0.06;-0.9;-12.63;2.26;16.24;-9;-2;-78
11:21:36.776;0.11;-0.11;-0.91;-6.96;9.03;2.99;-9;-1;-76
11:21:36.892;0.08;-0.13;-0.96;8.18;1.95;5.19;-9;-1;-76
11:21:36.896;0.08;-0.12;-0.91;-3.36;5.92;-1.34;-7;0;-76
11:21:36.898;0.07;-0.12;-0.95;7.75;2.99;-1.4;-7;0;-76
11:21:36.955;0.08;-0.1;-1;3.3;6.16;-2.93;-7;0;-76
11:21:37.012;0.08;-0.12;-1.02;1.59;14.47;-2.87;-8;2;-73
11:21:37.015;0.07;-0.1;-0.99;0.49;8.97;-8.97;-8;2;-73
11:21:37.073;0.05;-0.12;-1.02;-2.01;-1.53;-6.1;-7;0;-73
11:21:37.132;0.05;-0.11;-1.01;-0.85;2.87;-5.43;-7;0;-73
11:21:37.193;0.04;-0.13;-0.99;9.34;-0.49;-7.45;-6;0;-78
11:21:37.254;0.03;-0.13;-0.99;3.91;0.55;-9.4;-6;0;-78
11:21:37.260;0.03;-0.14;-1.01;2.69;4.09;-8.24;-7;2;-75
11:21:37.373;0.03;-0.13;-0.98;-5.43;6.59;-8.79;-7;2;-75
11:21:37.378;0.02;-0.13;-0.99;1.83;4.27;-6.96;-7;2;-75
11:21:37.381;0.02;-0.13;-0.97;5.98;1.95;-0.98;-6;2;-76
11:21:37.433;0.02;-0.13;-1.01;11.54;-2.44;-0.67;-6;2;-76
11:21:37.493;0.03;-0.12;-0.99;2.87;-4.7;-6.23;-5;2;-77
11:21:37.499;0.02;-0.13;-1.01;5.31;-3.78;-0.18;-5;2;-77
11:21:37.554;0.03;-0.13;-0.96;-1.46;2.75;2.2;-5;2;-77
11:21:37.673;0.01;-0.09;-0.99;2.93;2.32;-1.65;-5;0;-70
11:21:37.678;0.01;-0.1;-0.98;0.85;6.84;2.08;-5;0;-70
11:21:37.732;-0.01;-0.1;-0.99;1.53;7.39;-0.18;-4;0;-73
11:21:37.853;0;-0.09;-1.01;-1.65;5.19;2.69;-4;0;-73
11:21:37.856;0.01;-0.09;-0.98;0.06;1.16;3.54;-4;0;-73
11:21:37.860;0.02;-0.11;-1.02;6.04;-3.48;5.19;-6;3;-74
11:21:37.872;0.03;-0.09;-0.97;-5.43;0.06;2.32;-6;3;-74
11:21:37.875;0.02;-0.09;-0.98;1.77;-3.05;2.62;-4;1;-74
