Zeitstempel;aX;aY;aZ;gX;gY;gZ;mX;mY;mZ
10:26:36.930;0.95;0.45;-0.46;30.52;9.4;-58.04;11;-46;-23
10:26:36.939;1.07;0.42;-0.46;27.22;19.59;-88.07;11;-46;-2
10:26:36.989;1.21;0.5;-0.47;27.1;20.51;-126.22;11;-46;NaN
10:26:37.051;1.27;0.48;-0.5;28.14;13.43;-163.94;1;-49;-2
10:26:37.109;1.31;0.46;-0.56;34.42;10.68;-200.38;1;-49;-2
10:26:37.118;1.26;0.39;-0.59;51.94;15.32;-230.96;-18;-55;0
10:26:37.169;1.41;0.5;-0.6;53.96;19.71;-265.44;-18;-55;0
10:26:37.175;1.03;0.46;-0.6;47.61;32.53;-258.91;-18;-55;0
10:26:37.229;0.65;0.41;-0.47;43.76;31.43;-258.3;-39;-49;0
10:26:37.289;0.26;0.34;-0.59;65.8;12.94;-257.45;-39;-49;0
10:26:37.351;-0.08;0.19;-0.66;71.04;5.43;-205.99;-55;-39;0
10:26:37.470;-0.39;-0.12;-0.76;15.75;-2.44;11.47;-59;-33;0
10:26:37.831;-0.67;3.32;0.17;-59.45;-118.77;308.35;18;24;0
10:26:37.889;0.12;2.13;0.41;35.16;-123.6;198.67;18;24;-9
10:26:37.950;0.21;1.52;-0.07;58.53;-123.17;88.81;-14;46;NaN
10:26:37.957;0.14;1.08;-0.08;40.53;-45.35;59.14;-14;46;-6
10:26:38.009;0.11;1.05;-0.26;65.31;-16.6;36.87;-14;46;-6
10:26:38.069;-0.03;0.81;-0.29;40.65;-31.25;8.91;-18;51;-2
10:26:38.076;-0.18;0.94;-0.41;52.25;-29.97;-6.96;-18;51;NaN
10:26:38.129;-0.25;0.79;-0.52;41.69;-14.53;-16.3;-16;47;0
10:26:38.189;-0.26;0.81;-0.57;60.24;-18.07;-37.35;-16;47;0
10:26:38.250;-0.29;0.82;-0.61;33.57;-4.27;-34.91;-16;47;NaN
10:26:38.256;-0.31;0.81;-0.5;4.7;14.77;-46.75;-12;44;-2
10:26:38.309;-0.31;0.73;-0.65;18.25;13.31;-58.29;-12;44;NaN
10:26:38.369;-0.34;0.69;-0.6;4.33;26.67;-53.16;-11;43;-1
10:26:38.376;-0.39;0.71;-0.66;5.92;26.79;-47.55;-11;43;-1
10:26:38.429;-0.34;0.83;-1.03;-4.64;37.05;-33.08;-9;41;-1
10:26:38.489;-0.35;0.73;-0.47;-44.37;43.4;-7.93;-9;41;-1
10:26:38.497;-0.4;0.78;-0.58;38.82;-9.46;-27.65;-9;41;-1
10:26:38.550;-0.33;0.79;-0.6;6.35;-2.14;-12.02;-8;40;-10
10:26:38.609;-0.29;0.74;-0.44;-23.01;17.58;1.1;-8;40;-10
10:26:38.617;-0.29;0.78;-0.69;16.85;11.35;-5.86;-9;37;-8
10:26:38.669;-0.29;0.78;-0.5;-24.54;23.25;-2.81;-9;37;-8
10:26:38.730;-0.32;0.79;-0.56;3.72;8.97;-10.13;-9;37;-8
10:26:38.738;-0.29;0.75;-0.59;5.8;6.16;-5.62;-8;38;-10
10:26:38.789;-0.29;0.76;-0.57;0.43;6.47;-5.19;-8;38;-10
10:26:38.850;-0.27;0.79;-0.58;5.92;1.89;-1.65;-6;37;-7
10:26:38.857;-0.26;0.78;-0.55;-1.95;0.49;-0.18;-6;37;-7
10:26:38.909;-0.26;0.81;-0.54;1.22;-2.69;-1.77;-6;37;-7
10:26:38.969;-0.26;0.78;-0.56;1.83;0.79;-4.09;-7;38;-5
10:26:38.975;-0.27;0.78;-0.55;-1.53;5.74;-1.77;-7;38;-5
10:26:39.029;-0.28;0.8;-0.56;-0.98;9.58;-0.37;-8;37;-9
10:26:39.088;-0.27;0.78;-0.53;-5.98;9.83;1.53;-8;37;-9
10:26:39.093;-0.28;0.78;-0.56;6.65;3.91;-0.85;-8;37;-9
10:26:39.148;-0.29;0.8;-0.57;0.55;4.46;0.24;-8;34;-3
10:26:39.209;-0.29;0.78;-0.52;-0.49;3.23;2.38;-8;34;-3
10:26:39.213;-0.3;0.79;-0.57;7.08;0.92;-0.73;-5;36;-2
10:26:39.269;-0.29;0.78;-0.55;-2.75;5.43;-1.34;-5;36;-2
10:26:39.329;-0.29;0.8;-0.52;-2.44;3.05;-2.5;-5;36;-2
10:26:39.389;-0.29;0.78;-0.56;3.17;-0.31;1.34;-6;36;-6
10:26:39.394;-0.28;0.79;-0.51;-3.66;1.46;-1.1;-6;36;-6
10:26:39.449;-0.29;0.78;-0.54;6.53;-3.17;-2.81;-5;37;-9
10:26:39.510;-0.29;0.8;-0.55;2.93;0.37;-1.28;-5;37;-9
10:26:39.517;-0.28;0.8;-0.53;-0.98;3.54;0.98;-5;37;-9
10:26:39.569;-0.28;0.79;-0.55;4.82;-2.38;0.55;-6;35;-2
10:26:39.629;-0.28;0.81;-0.53;0.67;-0.85;-1.1;-6;35;-2
10:26:39.749;-0.29;0.79;-0.56;-0.12;1.53;-1.95;-5;36;-2
10:26:39.809;-0.29;0.79;-0.53;-2.32;1.1;0.43;-5;36;-2
10:26:39.869;-0.28;0.79;-0.54;0.67;-0.79;0.24;-8;37;-3
10:26:39.989;-0.27;0.79;-0.53;-1.4;-1.95;-0.24;-6;36;-6
10:26:39.995;-0.29;0.79;-0.54;0.55;1.34;-1.89;-6;36;-6
